,name,alcohol_impaired_driving_deaths,high_school_graduation,unemployment,median_household_income,children_in_single_parent_households,social_associations,drug_overdose_deaths,disconnected_youth,homicides,suicides,population,population_density,below_18_years_of_age,X65_and_older,non_hispanic_black,american_indian_or_alaska_native,hispanic,female,excessive_drinking,adult_smoking
2454,Fentress County,0.111111111,0.975,0.037757882,41147,0.270128508,6.896551724,42.73504274,,,25.31208109,19332,38.77203625,0.203393338,0.230912477,0.005327954,0.005224498,0.021829092,0.506776329,0.132401152,0.261
2455,Franklin County,0.290322581,0.93,0.035272632,61417,0.271214446,10.64445216,23.45435782,,5.431111443,26.65151312,43942,79.24653832,0.195621501,0.210186155,0.048063356,0.005689318,0.039688681,0.507145783,0.15390402,0.213
2456,Gibson County,0.326086957,0.957087302,0.035379764,55608,0.28673394,16.81802893,28.21954808,,9.25419837,21.27279098,50837,84.34244967,0.242107127,0.175679131,0.173692389,0.003619411,0.033518894,0.513366249,0.142541318,0.232
2457,Giles County,0.275,0.9,0.032771473,54684,0.285160039,9.822539454,26.80486062,,,18.81308032,30554,50.01216695,0.209465209,0.209563396,0.094553905,0.005727564,0.036754598,0.514957125,0.146285818,0.226
2458,Grainger County,0.068965517,0.95,0.038354756,51951,0.211700975,6.733156588,52.37232477,,,20.34553231,24277,86.522331,0.191992421,0.216871936,0.008485398,0.005396054,0.037319273,0.494871689,0.136980048,0.25
2459,Greene County,0.185185185,0.927197724,0.039790285,50410,0.244469441,9.912065816,35.84040982,0.093625498,2.477542113,21.8402287,71405,114.7678942,0.187031721,0.223541769,0.022421399,0.003949303,0.034745466,0.503480148,0.143643457,0.245
2460,Grundy County,0.181818182,0.875,0.045260808,44219,0.178299931,7.341065923,54.2754231,,13.81934922,19.40708498,13783,38.2389448,0.211710078,0.20576072,0.01015744,0.007182761,0.018355946,0.502212871,0.13970122,0.257
2461,Hamblen County,0.17948718,0.91,0.036405006,56734,0.337059847,12.25414159,40.6144608,,2.885394356,18.65374027,65168,404.2969745,0.231662779,0.179766143,0.036244783,0.009160938,0.126488461,0.506368156,0.139107674,0.234
2462,Hamilton County,0.297297297,0.85,0.034273665,75127,0.283387922,13.38263779,36.53253064,0.053119312,9.503851809,14.6370853,374682,691.0864763,0.20691413,0.18703594,0.180646522,0.006183911,0.067628015,0.514446918,0.153161249,0.168
2463,Hancock County,0.666666667,,0.041739895,38024,0.197879859,0,,,,,6845,30.788426,0.211249087,0.228195763,0.005843682,0.003360117,0.009934259,0.503140979,0.127607971,0.305
